Names,Degrees,Rating,Image,Info
Dr. Shyam Kumar Dhingra,MBBS,1,https://cdn.docprime.com/media/doctor/images/80x80/dr-shyam-kumar-dhingra-pediatrician.jpg,docprime.com/dr-shyam-kumar-dhingra-pediatrician-in-gopal-pura-mode-jaipur-dpp
Dr. Sanjeev Kansotiya,BAMS,2,https://cdn.docprime.com/media/doctor/images/80x80/dr-sanjeev-kansotiya-orthopedist.jpg,docprime.com/dr-sanjeev-kansotiya-orthopedist-in-tonk-phatak-jaipur-dpp
Dr. Siloni Thaper,BUMS,4,https://cdn.docprime.com/media/doctor/images/80x80/dr-siloni-thaper-dentist.jpg,docprime.com/dr-siloni-thaper-dentist-in-lalkothi-jaipur-dpp
Dr. Mahendra Saini,BDS,2,https://cdn.docprime.com/media/doctor/images/80x80/dr-mahendra-saini-dentist.jpg,docprime.com/dr-mahendra-saini-dentist-in-ramnagar-jaipur-dpp
Dr. Manisha Saharan (Pt),BHMS,3,https://cdn.docprime.com/media/doctor/images/80x80/dr-manisha-saharan-pt-physiotherapist.jpg,docprime.com/dr-manisha-saharan-pt-orthopedic-physiotherapist-physiotherapist-in-govindpuri-jaipur-dpp
Dr. Ajeet Kumar Saharan (Pt),MD,3,https://cdn.docprime.com/media/doctor/images/80x80/dr-ajeet-kumar-saharan-pt-physiotherapist.jpg,docprime.com/dr-ajeet-kumar-saharan-pt-neuro-physiotherapist-physiotherapist-in-govindpuri-jaipur-dpp
Dr. Deepesh Goyal,MDS,1,https://cdn.docprime.com/media/doctor/images/80x80/dr-deepesh-goyal-plastic-surgeon.jpg,docprime.com/dr-deepesh-goyal-plastic-surgeon-in-ramnagar-jaipur-dpp
Dr. Manoj Tiwari,BHMS,2,https://cdn.docprime.com/media/doctor/images/80x80/dr-manoj-tiwari-dentist.jpg,docprime.com/dr-manoj-tiwari-dentist-endodontist-in-gopal-pura-mode-jaipur-dpp
Dr. Hitesh Tanwar,BUMS,2,https://cdn.docprime.com/media/doctor/images/80x80/dr-dev-kumar-pingolia-ent-otorhinolaryngologist.jpg,docprime.com/dr-hitesh-tanwar-dental-surgeon-dentist-in-gopal-pura-mode-jaipur-dpp
Dr. Dev Kumar Pingolia,MBBS,3,null,docprime.com/dr-dev-kumar-pingolia-ent-otorhinolaryngologist-in-gopal-pura-mode-jaipur-dpp
